Cycle,RPM,Ignition_Target,Peak_P_MPa,Peak_T_K,Status,Diagnosis,Theta_Drift_Deg,Crank_Stability_Pct
436,2419.6,-11.6,1.29,521,MISFIRE,No pressure rise post-spark,0.00014,99.97
437,7491.3,-14.7,0.96,511,MISFIRE,No pressure rise post-spark,2e-05,99.97
438,3489.2,-14.9,1.25,511,MISFIRE,No pressure rise post-spark,8e-05,99.97
439,6715.8,-11.4,1.13,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
440,4656.3,-13.4,1.28,515,MISFIRE,No pressure rise post-spark,5e-05,99.97
441,4980.8,-15.8,1.19,507,MISFIRE,No pressure rise post-spark,5e-05,99.97
442,2135.8,-8.4,1.35,530,MISFIRE,No pressure rise post-spark,0.00017,99.97
443,1666.3,-8.3,1.28,530,MISFIRE,No pressure rise post-spark,0.00024,99.97
444,3030.4,-12.8,1.3,518,MISFIRE,No pressure rise post-spark,0.0001,99.97
445,4107.2,-12.1,1.33,518,MISFIRE,No pressure rise post-spark,7e-05,99.97
446,4392.1,-13.3,1.29,515,MISFIRE,No pressure rise post-spark,6e-05,99.97
447,2753.5,-9.0,1.25,515,MISFIRE,No pressure rise post-spark,0.00012,99.97
448,4400.2,-11.4,1.36,521,MISFIRE,No pressure rise post-spark,6e-05,99.97
449,1838.3,-12.3,1.18,518,MISFIRE,No pressure rise post-spark,0.0002,99.97
450,6832.7,-8.3,1.19,530,MISFIRE,No pressure rise post-spark,3e-05,99.97
451,5737.9,-12.0,1.24,518,MISFIRE,No pressure rise post-spark,4e-05,99.97
452,2061.9,-10.1,1.28,524,MISFIRE,No pressure rise post-spark,0.00018,99.97
453,1569.6,-10.7,1.21,524,MISFIRE,No pressure rise post-spark,0.00025,99.97
454,5026.4,-11.7,1.33,521,MISFIRE,No pressure rise post-spark,5e-05,99.97
455,3881.9,-18.0,1.14,499,MISFIRE,No pressure rise post-spark,7e-05,99.97
456,6040.8,-15.3,1.1,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
457,7323.3,-16.8,0.9,503,MISFIRE,No pressure rise post-spark,2e-05,99.97
458,5107.8,-9.3,1.39,527,MISFIRE,No pressure rise post-spark,5e-05,99.97
459,5433.3,-13.0,1.23,515,MISFIRE,No pressure rise post-spark,4e-05,99.97
460,1708.4,-11.2,1.2,521,MISFIRE,No pressure rise post-spark,0.00023,99.97
461,5651.5,-15.4,1.14,507,MISFIRE,No pressure rise post-spark,4e-05,99.97
462,1834.6,-8.2,1.3,530,MISFIRE,No pressure rise post-spark,0.00021,99.97
463,6195.7,-15.1,1.08,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
464,5022.8,-8.3,1.43,530,MISFIRE,No pressure rise post-spark,5e-05,99.97
