Cycle,RPM,Status,Diagnosis,Peak_P_MPa,Peak_T_K,Applied_Drift_Deg,Next_Est_Drift_Deg
433,4125.1,STABLE,Normal Physics,1.43,527,0.0,1e-05
434,4155.9,STABLE,Normal Physics,1.43,527,0.0,1e-05
435,4153.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
436,4196.6,STABLE,Normal Physics,1.43,527,0.0,1e-05
437,4171.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
438,4198.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
439,4141.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
440,4220.5,STABLE,Normal Physics,1.43,527,0.0,1e-05
441,4183.2,STABLE,Normal Physics,1.43,527,0.0,1e-05
442,4171.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
443,4261.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
444,4210.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
445,4205.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
446,4228.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
447,4245.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
448,4265.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
449,4234.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
450,4302.9,STABLE,Normal Physics,1.43,527,0.0,1e-05
451,4247.4,STABLE,Normal Physics,1.43,527,0.0,1e-05
452,4234.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
453,4233.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
454,4238.2,STABLE,Normal Physics,1.43,527,0.0,1e-05
455,4323.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
456,4252.6,STABLE,Normal Physics,1.43,527,0.0,1e-05
457,4285.1,STABLE,Normal Physics,1.43,527,0.0,1e-05
458,4325.5,STABLE,Normal Physics,1.43,527,0.0,1e-05
459,4346.4,STABLE,Normal Physics,1.43,527,0.0,1e-05
460,4278.6,STABLE,Normal Physics,1.43,527,0.0,1e-05
461,4290.2,STABLE,Normal Physics,1.43,527,0.0,1e-05
462,4386.6,STABLE,Normal Physics,1.43,527,0.0,1e-05
463,4367.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
464,4318.1,STABLE,Normal Physics,1.43,527,0.0,1e-05
465,4398.5,STABLE,Normal Physics,1.43,527,0.0,1e-05
466,4342.9,EARLY_FIRE,Pre-ignition,1.43,527,0.0,0.0
467,4341.5,STABLE,Normal Physics,1.43,527,0.0,1e-05
468,4394.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
469,4339.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
470,4370.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
471,4381.2,STABLE,Normal Physics,1.43,527,0.0,1e-05
472,4431.9,STABLE,Normal Physics,1.43,527,0.0,1e-05
473,4399.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
474,4458.5,STABLE,Normal Physics,1.43,527,0.0,1e-05
475,4456.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
476,4457.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
477,4436.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
478,4460.1,EARLY_FIRE,Pre-ignition,1.43,527,0.0,0.0
479,4461.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
480,4513.8,STABLE,Normal Physics,1.42,527,0.0,1e-05
481,4518.2,STABLE,Normal Physics,1.42,527,0.0,1e-05
482,4451.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
483,4510.8,STABLE,Normal Physics,1.42,527,0.0,1e-05
484,4512.7,STABLE,Normal Physics,1.42,527,0.0,1e-05
485,4522.2,EARLY_FIRE,Pre-ignition,1.42,527,0.0,0.0
486,4475.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
487,4490.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
488,4510.5,STABLE,Normal Physics,1.42,527,0.0,1e-05
489,4554.8,STABLE,Normal Physics,1.42,527,0.0,1e-05
490,4546.8,STABLE,Normal Physics,1.42,527,0.0,1e-05
491,4586.4,STABLE,Normal Physics,1.42,527,0.0,1e-05
492,4542.7,STABLE,Normal Physics,1.42,527,0.0,1e-05
493,4561.7,STABLE,Normal Physics,1.42,527,0.0,1e-05
494,4573.6,STABLE,Normal Physics,1.42,527,0.0,1e-05
495,4563.5,STABLE,Normal Physics,1.42,527,0.0,1e-05
496,4614.7,STABLE,Normal Physics,1.42,527,0.0,1e-05
497,4599.3,STABLE,Normal Physics,1.42,527,0.0,1e-05
498,4601.4,STABLE,Normal Physics,1.42,527,0.0,1e-05
499,4579.6,STABLE,Normal Physics,1.42,527,0.0,1e-05
500,4571.6,STABLE,Normal Physics,1.42,527,0.0,1e-05
501,4611.4,EARLY_FIRE,Pre-ignition,1.42,527,0.0,0.0
502,4607.6,STABLE,Normal Physics,1.42,527,0.0,1e-05
503,4626.2,STABLE,Normal Physics,1.42,527,0.0,1e-05
504,4629.5,STABLE,Normal Physics,1.42,527,0.0,1e-05
505,4606.2,STABLE,Normal Physics,1.42,527,0.0,1e-05
506,4684.5,STABLE,Normal Physics,1.42,527,0.0,1e-05
507,4634.8,STABLE,Normal Physics,1.42,527,0.0,1e-05
508,4656.3,STABLE,Normal Physics,1.42,527,0.0,1e-05
509,4680.3,STABLE,Normal Physics,1.42,527,0.0,1e-05
510,4691.2,STABLE,Normal Physics,1.42,527,0.0,1e-05
511,4701.9,STABLE,Normal Physics,1.42,527,0.0,1e-05
512,4706.5,STABLE,Normal Physics,1.42,527,0.0,1e-05
513,4723.5,STABLE,Normal Physics,1.42,527,0.0,1e-05
514,4673.8,STABLE,Normal Physics,1.42,527,0.0,1e-05
515,4712.2,STABLE,Normal Physics,1.42,527,0.0,1e-05
516,4727.7,STABLE,Normal Physics,1.42,527,0.0,1e-05
517,4714.0,MISFIRE,Fuel cut,1.42,527,0.0,0.0
518,4754.1,STABLE,Normal Physics,1.41,527,0.0,1e-05
519,4758.0,EARLY_FIRE,Pre-ignition,1.41,527,0.0,0.0
520,4777.1,STABLE,Normal Physics,1.41,527,0.0,1e-05
521,4792.6,STABLE,Normal Physics,1.41,527,0.0,1e-05
522,4792.4,STABLE,Normal Physics,1.41,527,0.0,1e-05
523,4716.7,STABLE,Normal Physics,1.42,527,0.0,1e-05
524,4741.1,STABLE,Normal Physics,1.41,527,0.0,1e-05
525,4802.6,STABLE,Normal Physics,1.41,527,0.0,1e-05
526,4823.8,STABLE,Normal Physics,1.41,527,0.0,1e-05
527,4783.5,STABLE,Normal Physics,1.41,527,0.0,1e-05
528,4790.6,STABLE,Normal Physics,1.41,527,0.0,1e-05
529,4819.1,STABLE,Normal Physics,1.41,527,0.0,1e-05
530,4757.5,STABLE,Normal Physics,1.41,527,0.0,1e-05
531,4804.1,STABLE,Normal Physics,1.41,527,0.0,1e-05
532,4782.7,STABLE,Normal Physics,1.41,527,0.0,1e-05
533,4834.7,MISFIRE,Fuel cut,1.41,527,0.0,0.0
534,4880.0,STABLE,Normal Physics,1.41,527,0.0,1e-05
535,4804.4,STABLE,Normal Physics,1.41,527,0.0,1e-05
536,4859.3,STABLE,Normal Physics,1.41,527,0.0,1e-05
537,4840.1,STABLE,Normal Physics,1.41,527,0.0,1e-05
538,4900.7,STABLE,Normal Physics,1.41,527,0.0,1e-05
539,4883.6,STABLE,Normal Physics,1.41,527,0.0,1e-05
540,4838.6,STABLE,Normal Physics,1.41,527,0.0,1e-05
541,4881.8,STABLE,Normal Physics,1.41,527,0.0,1e-05
542,4853.0,STABLE,Normal Physics,1.41,527,0.0,1e-05
543,4931.8,STABLE,Normal Physics,1.4,527,0.0,1e-05
544,4941.7,STABLE,Normal Physics,1.4,527,0.0,1e-05
545,4859.2,STABLE,Normal Physics,1.41,527,0.0,1e-05
546,4942.9,STABLE,Normal Physics,1.4,527,0.0,1e-05
547,4900.9,STABLE,Normal Physics,1.41,527,0.0,1e-05
548,4906.8,STABLE,Normal Physics,1.41,527,0.0,1e-05
549,4900.4,STABLE,Normal Physics,1.41,527,0.0,1e-05
550,4981.9,STABLE,Normal Physics,1.4,527,0.0,1e-05
551,4938.5,EARLY_FIRE,Pre-ignition,1.4,527,0.0,0.0
552,4908.9,EARLY_FIRE,Pre-ignition,1.41,527,0.0,0.0
553,5010.0,STABLE,Normal Physics,1.4,527,0.0,1e-05
554,4981.9,STABLE,Normal Physics,1.4,527,0.0,1e-05
555,4979.5,STABLE,Normal Physics,1.4,527,0.0,1e-05
556,4981.8,EARLY_FIRE,Pre-ignition,1.4,527,0.0,0.0
557,4959.5,STABLE,Normal Physics,1.4,527,0.0,1e-05
558,4947.8,STABLE,Normal Physics,1.4,527,0.0,1e-05
559,5007.9,EARLY_FIRE,Pre-ignition,1.4,527,0.0,0.0
560,4973.5,STABLE,Normal Physics,1.4,527,0.0,1e-05
561,5042.0,STABLE,Normal Physics,1.4,527,0.0,1e-05
562,5052.2,STABLE,Normal Physics,1.4,527,0.0,1e-05
563,5034.1,STABLE,Normal Physics,1.4,527,0.0,1e-05
564,5034.6,STABLE,Normal Physics,1.4,527,0.0,1e-05
565,5068.3,STABLE,Normal Physics,1.39,527,0.0,1e-05
566,5092.9,STABLE,Normal Physics,1.39,527,0.0,1e-05
567,5049.1,STABLE,Normal Physics,1.4,527,0.0,1e-05
568,5066.8,STABLE,Normal Physics,1.4,527,0.0,1e-05
569,5082.9,STABLE,Normal Physics,1.39,527,0.0,1e-05
570,5055.0,MISFIRE,Fuel cut,1.4,527,0.0,0.0
571,5091.5,STABLE,Normal Physics,1.39,527,0.0,1e-05
572,5071.5,STABLE,Normal Physics,1.39,527,0.0,1e-05
573,5079.0,STABLE,Normal Physics,1.39,527,0.0,1e-05
574,5128.2,STABLE,Normal Physics,1.39,527,0.0,1e-05
575,5156.9,STABLE,Normal Physics,1.39,527,0.0,1e-05
576,5092.9,EARLY_FIRE,Pre-ignition,1.39,527,0.0,0.0
577,5103.9,STABLE,Normal Physics,1.39,527,0.0,1e-05
578,5108.3,STABLE,Normal Physics,1.39,527,0.0,1e-05
579,5114.4,EARLY_FIRE,Pre-ignition,1.39,527,0.0,0.0
580,5122.1,STABLE,Normal Physics,1.39,527,0.0,1e-05
581,5184.6,STABLE,Normal Physics,1.39,527,0.0,1e-05
582,5157.1,STABLE,Normal Physics,1.39,527,0.0,1e-05
583,5178.5,STABLE,Normal Physics,1.39,527,0.0,1e-05
584,5122.0,STABLE,Normal Physics,1.39,527,0.0,1e-05
585,5150.9,STABLE,Normal Physics,1.39,527,0.0,1e-05
586,5210.3,STABLE,Normal Physics,1.38,527,0.0,1e-05
587,5208.9,STABLE,Normal Physics,1.38,527,0.0,1e-05
588,5203.0,STABLE,Normal Physics,1.38,527,0.0,1e-05
589,5179.8,STABLE,Normal Physics,1.39,527,0.0,1e-05
590,5228.5,STABLE,Normal Physics,1.38,527,0.0,1e-05
591,5176.8,STABLE,Normal Physics,1.39,527,0.0,1e-05
592,5175.6,STABLE,Normal Physics,1.39,527,0.0,1e-05
593,5232.6,STABLE,Normal Physics,1.38,527,0.0,1e-05
594,5278.9,STABLE,Normal Physics,1.38,527,0.0,1e-05
595,5276.9,STABLE,Normal Physics,1.38,527,0.0,1e-05
596,5211.2,STABLE,Normal Physics,1.38,527,0.0,1e-05
597,5245.8,STABLE,Normal Physics,1.38,527,0.0,1e-05
598,5274.1,STABLE,Normal Physics,1.38,527,0.0,1e-05
599,5231.5,EARLY_FIRE,Pre-ignition,1.38,527,0.0,0.0
600,5282.9,STABLE,Normal Physics,1.38,527,0.0,1e-05
601,5335.6,STABLE,Normal Physics,1.37,527,0.0,1e-05
602,5331.0,STABLE,Normal Physics,1.37,527,0.0,1e-05
603,5283.9,STABLE,Normal Physics,1.38,527,0.0,1e-05
604,5300.0,STABLE,Normal Physics,1.38,527,0.0,1e-05
605,5354.0,STABLE,Normal Physics,1.37,527,0.0,1e-05
